,target_name,social_reward,path,energy_cost,total_score,final_target,simulation_index
0,E,15.0,10.0,10.0,5.0,E,8311
0,F,23.0,9.0,9.0,14.0,F,8312
0,C,26.0,4.0,4.0,22.0,C,8313
0,D,23.0,13.0,13.0,10.0,F,8314
1,F,23.0,7.0,7.0,16.0,F,8314
0,F,23.0,14.0,14.0,9.0,F,8315
0,C,26.0,13.0,13.0,13.0,C,8316
0,C,26.0,7.0,7.0,19.0,C,8317
1,E,15.0,12.0,12.0,3.0,C,8317
2,F,23.0,12.0,12.0,11.0,C,8317
0,D,23.0,9.0,9.0,14.0,D,8318
1,F,23.0,15.0,15.0,8.0,D,8318
0,C,26.0,6.0,6.0,20.0,C,8319
1,E,15.0,8.0,8.0,7.0,C,8319
0,F,23.0,2.0,2.0,21.0,F,8320
0,C,26.0,15.0,15.0,11.0,C,8321
1,D,23.0,18.0,18.0,5.0,C,8321
2,E,15.0,11.0,11.0,4.0,C,8321
0,C,26.0,7.0,7.0,19.0,C,8322
1,D,23.0,9.0,9.0,14.0,C,8322
2,E,15.0,11.0,11.0,4.0,C,8322
3,F,23.0,14.0,14.0,9.0,C,8322
0,E,15.0,12.0,12.0,3.0,E,8323
0,C,26.0,12.0,12.0,14.0,C,8324
1,E,15.0,16.0,16.0,-1.0,C,8324
0,E,15.0,7.0,7.0,8.0,E,8325
0,D,23.0,12.0,12.0,11.0,D,8326
0,C,26.0,12.0,12.0,14.0,C,8327
1,F,23.0,10.0,10.0,13.0,C,8327
0,D,23.0,16.0,16.0,7.0,D,8328
0,C,26.0,10.0,10.0,16.0,F,8329
1,D,23.0,6.0,6.0,17.0,F,8329
2,E,15.0,3.0,3.0,12.0,F,8329
3,F,23.0,5.0,5.0,18.0,F,8329
0,F,23.0,11.0,11.0,12.0,F,8330
0,E,15.0,9.0,9.0,6.0,E,8331
0,E,15.0,15.0,15.0,0.0,F,8332
1,F,23.0,4.0,4.0,19.0,F,8332
0,C,26.0,10.0,10.0,16.0,C,8333
0,C,26.0,11.0,11.0,15.0,C,8334
1,E,15.0,10.0,10.0,5.0,C,8334
0,C,26.0,11.0,11.0,15.0,C,8335
0,C,26.0,16.0,16.0,10.0,D,8336
1,D,23.0,3.0,3.0,20.0,D,8336
2,F,23.0,4.0,4.0,19.0,D,8336
0,F,23.0,6.0,6.0,17.0,F,8337
0,C,26.0,12.0,12.0,14.0,C,8338
1,E,15.0,12.0,12.0,3.0,C,8338
2,F,23.0,9.0,9.0,14.0,C,8338
0,C,26.0,12.0,12.0,14.0,D,8339
1,D,23.0,8.0,8.0,15.0,D,8339
2,E,15.0,12.0,12.0,3.0,D,8339
3,F,23.0,10.0,10.0,13.0,D,8339
0,F,23.0,12.0,12.0,11.0,F,8340
0,F,23.0,10.0,10.0,13.0,F,8341
0,C,26.0,4.0,4.0,22.0,C,8342
1,E,15.0,11.0,11.0,4.0,C,8342
2,F,23.0,6.0,6.0,17.0,C,8342
0,C,26.0,8.0,8.0,18.0,C,8343
1,D,23.0,10.0,10.0,13.0,C,8343
2,F,23.0,9.0,9.0,14.0,C,8343
0,C,26.0,9.0,9.0,17.0,C,8344
1,D,23.0,7.0,7.0,16.0,C,8344
2,E,15.0,15.0,15.0,0.0,C,8344
0,C,26.0,5.0,5.0,21.0,C,8345
1,D,23.0,11.0,11.0,12.0,C,8345
2,E,15.0,5.0,5.0,10.0,C,8345
3,F,23.0,8.0,8.0,15.0,C,8345
0,D,23.0,7.0,7.0,16.0,D,8346
0,C,26.0,8.0,8.0,18.0,D,8347
1,D,23.0,2.0,2.0,21.0,D,8347
2,F,23.0,5.0,5.0,18.0,D,8347
0,C,26.0,22.0,22.0,4.0,D,8348
1,D,23.0,2.0,2.0,21.0,D,8348
2,E,15.0,11.0,11.0,4.0,D,8348
3,F,23.0,8.0,8.0,15.0,D,8348
0,C,26.0,5.0,5.0,21.0,C,8349
