,target_name,social_reward,path,energy_cost,total_score,final_target,simulation_index
0,D,15.0,10.0,10.0,5.0,D,7749
0,C,20.0,8.0,8.0,12.0,C,7750
1,D,15.0,14.0,14.0,1.0,C,7750
2,F,23.0,14.0,14.0,9.0,C,7750
0,E,18.0,10.0,10.0,8.0,E,7751
0,D,15.0,9.0,9.0,6.0,F,7752
1,E,18.0,7.0,7.0,11.0,F,7752
2,F,23.0,7.0,7.0,16.0,F,7752
0,E,18.0,4.0,4.0,14.0,E,7753
0,D,15.0,20.0,20.0,-5.0,F,7754
1,E,18.0,15.0,15.0,3.0,F,7754
2,F,23.0,13.0,13.0,10.0,F,7754
0,D,15.0,3.0,3.0,12.0,D,7755
0,C,20.0,9.0,9.0,11.0,C,7756
1,E,18.0,13.0,13.0,5.0,C,7756
2,F,23.0,15.0,15.0,8.0,C,7756
0,E,18.0,20.0,20.0,-2.0,E,7757
0,D,15.0,10.0,10.0,5.0,F,7758
1,E,18.0,13.0,13.0,5.0,F,7758
2,F,23.0,7.0,7.0,16.0,F,7758
0,D,15.0,8.0,8.0,7.0,F,7759
1,F,23.0,5.0,5.0,18.0,F,7759
0,C,20.0,3.0,3.0,17.0,F,7760
1,D,15.0,6.0,6.0,9.0,F,7760
2,E,18.0,15.0,15.0,3.0,F,7760
3,F,23.0,5.0,5.0,18.0,F,7760
0,C,20.0,7.0,7.0,13.0,C,7761
1,E,18.0,14.0,14.0,4.0,C,7761
0,C,20.0,6.0,6.0,14.0,C,7762
1,D,15.0,9.0,9.0,6.0,C,7762
0,C,20.0,18.0,18.0,2.0,F,7763
1,D,15.0,5.0,5.0,10.0,F,7763
2,E,18.0,28.0,28.0,-10.0,F,7763
3,F,23.0,5.0,5.0,18.0,F,7763
0,D,15.0,9.0,9.0,6.0,D,7764
0,F,23.0,7.0,7.0,16.0,F,7765
0,C,20.0,10.0,10.0,10.0,D,7766
1,D,15.0,4.0,4.0,11.0,D,7766
2,E,18.0,11.0,11.0,7.0,D,7766
3,F,23.0,15.0,15.0,8.0,D,7766
0,C,20.0,8.0,8.0,12.0,F,7767
1,E,18.0,7.0,7.0,11.0,F,7767
2,F,23.0,11.0,11.0,12.0,F,7767
0,F,23.0,7.0,7.0,16.0,F,7768
0,C,20.0,10.0,10.0,10.0,E,7769
1,D,15.0,7.0,7.0,8.0,E,7769
2,E,18.0,5.0,5.0,13.0,E,7769
0,C,20.0,12.0,12.0,8.0,F,7770
1,E,18.0,9.0,9.0,9.0,F,7770
2,F,23.0,14.0,14.0,9.0,F,7770
0,D,15.0,9.0,9.0,6.0,D,7771
0,C,20.0,10.0,10.0,10.0,C,7772
1,D,15.0,8.0,8.0,7.0,C,7772
0,E,18.0,5.0,5.0,13.0,E,7773
0,C,20.0,9.0,9.0,11.0,F,7774
1,F,23.0,8.0,8.0,15.0,F,7774
0,C,20.0,12.0,12.0,8.0,F,7775
1,E,18.0,10.0,10.0,8.0,F,7775
2,F,23.0,7.0,7.0,16.0,F,7775
0,F,23.0,2.0,2.0,21.0,F,7776
0,C,20.0,12.0,12.0,8.0,E,7777
1,E,18.0,5.0,5.0,13.0,E,7777
2,F,23.0,17.0,17.0,6.0,E,7777
0,C,20.0,11.0,11.0,9.0,F,7778
1,D,15.0,9.0,9.0,6.0,F,7778
2,E,18.0,11.0,11.0,7.0,F,7778
3,F,23.0,3.0,3.0,20.0,F,7778
0,D,15.0,9.0,9.0,6.0,D,7779
0,D,15.0,12.0,12.0,3.0,E,7780
1,E,18.0,4.0,4.0,14.0,E,7780
2,F,23.0,11.0,11.0,12.0,E,7780
0,C,20.0,6.0,6.0,14.0,C,7781
1,D,15.0,5.0,5.0,10.0,C,7781
2,E,18.0,9.0,9.0,9.0,C,7781
0,C,20.0,5.0,5.0,15.0,F,7782
1,D,15.0,6.0,6.0,9.0,F,7782
2,F,23.0,6.0,6.0,17.0,F,7782
0,C,20.0,15.0,15.0,5.0,D,7783
1,D,15.0,8.0,8.0,7.0,D,7783
2,E,18.0,14.0,14.0,4.0,D,7783
0,C,20.0,7.0,7.0,13.0,C,7784
1,D,15.0,7.0,7.0,8.0,C,7784
2,E,18.0,6.0,6.0,12.0,C,7784
0,C,20.0,4.0,4.0,16.0,F,7785
1,D,15.0,16.0,16.0,-1.0,F,7785
2,F,23.0,6.0,6.0,17.0,F,7785
0,D,15.0,10.0,10.0,5.0,F,7786
1,F,23.0,3.0,3.0,20.0,F,7786
0,C,20.0,9.0,9.0,11.0,C,7787
1,D,15.0,7.0,7.0,8.0,C,7787
2,F,23.0,15.0,15.0,8.0,C,7787
0,C,20.0,3.0,3.0,17.0,C,7788
0,E,18.0,8.0,8.0,10.0,E,7789
0,C,20.0,17.0,17.0,3.0,F,7790
1,D,15.0,6.0,6.0,9.0,F,7790
2,E,18.0,17.0,17.0,1.0,F,7790
3,F,23.0,10.0,10.0,13.0,F,7790
0,C,20.0,14.0,14.0,6.0,F,7791
1,D,15.0,8.0,8.0,7.0,F,7791
2,E,18.0,17.0,17.0,1.0,F,7791
3,F,23.0,4.0,4.0,19.0,F,7791
0,E,18.0,5.0,5.0,13.0,E,7792
0,C,20.0,11.0,11.0,9.0,F,7793
1,D,15.0,9.0,9.0,6.0,F,7793
2,E,18.0,16.0,16.0,2.0,F,7793
3,F,23.0,3.0,3.0,20.0,F,7793
0,C,20.0,15.0,15.0,5.0,F,7794
1,E,18.0,7.0,7.0,11.0,F,7794
2,F,23.0,11.0,11.0,12.0,F,7794
0,C,20.0,9.0,9.0,11.0,F,7795
1,F,23.0,5.0,5.0,18.0,F,7795
0,C,20.0,3.0,3.0,17.0,C,7796
1,E,18.0,7.0,7.0,11.0,C,7796
0,D,15.0,7.0,7.0,8.0,D,7797
0,C,20.0,6.0,6.0,14.0,C,7798
1,D,15.0,9.0,9.0,6.0,C,7798
